Sample	Batch_no	Herbarium	Barcode	Genus	Species	Collection_date	Collection_day	Collection_month	Collection_year	Country	Province	District	Town_Village	Latitude_DD	Longitude_DD	Accuracy	Altitude_m	Tissue_weight_mg	DNA_concentration_QUANTUS_ng_ul	gDNA_DIN	Peak_size	LIB_concentration_tapestation_ng_ul	LIB_concentration_QUANTUS_ng_ul	
HS0046	#017	RBGK	K001451924	Hordeum	spontaneum	22/04/1933	22	4	1933	Palestine	West Bank	Dara	NA	32	35.35	District level		3.7	0.366	NA	197	0.511	0.923	
HS0048	#017	RBGK	K001451922	Hordeum	spontaneum	19/04/2011	19	4	1911	Israel	West Bank	Bethelem	St. Theodosius Convent	31.72	35.28	Town level		5.1	0.244	NA	183	1.61	1.49	
HS0049	#017	RBGK	K001451921	Hordeum	spontaneum	06/05/1935	6	5	1935	Israel	West Bank	Judean Hills	KfarEzion	31.65	35.12	Town level		4.1	0.453	NA	188	0.467	0.754	
HS0053	#017	RBGK	K001451916	Hordeum	spontaneum	22/04/1911	22	4	1911	Egypt	Suez	Suez	Uyun Musa	29.87	32.65	Town level		5.4	1.48	NA	188	3.05	3.22	
HS0057	#017	RBGK	K001451910	Hordeum	spontaneum	02/05/1911	2	5	1911	Palestine	West Bank	Jericho	Jabbok river	31.99	35.52	District level		8	1.9	NA	183	3.45	3.88	
HS0058	#017	RBGK	K001451909	Hordeum	spontaneum	02/05/1911	2	5	1911	Palestine	West Bank	Jericho	Jabbok river	31.99	35.52	District level		6	0.0296	NA	187	0.208	0.351	
HS0060	#017	RBGK	K001451907	Hordeum	spontaneum	19/04/1911	19	4	1911	Palestine	West Bank	Jericho	"St, Georges Convent"	31.84	35.42	Town level		3.9	0.837	NA	186	1.3	1.57	
HS0082	#017	RBGK	K001451944	Hordeum	spontaneum	01/05/1911	1	5	1911	Syria	Hama	Hama	NA	34.94	36.75	District level		7.2	5.6	NA	183	4.09	4.47	
HS0089	#018	RBGK	K001451963	Hordeum	spontaneum	1958	NA	NA	1958	Iraq	Sulaymaniyah	Halabja	Kuh I Bamu	35.08	45.99	Town level		4.8	3.94	NA	190	9.22	9.1	
HS0104	#018	RBGK	K001451977	Hordeum	spontaneum	16/04/1975	16	4	1975	Iraq	Erbil	MGU	Darband	36.7	44.91	Town level		5	15	NA	192	6	6.4	
